id,企业名称,招聘岗位,工作城市,工作区域,岗位薪资,学历要求,要求经验,招聘人数,企业类型,职位描述,招聘发布日期,招聘结束日期,experience_years,salary_numeric
2123826,北京居然之家家居连锁有限公司,家居门店店长,澳门,嘉模堂區,12000.0-20000.0,本科,3-5年,若干,上市企业,职位要求：1、负责全店运营管理，对店面管理做好监督评估工作，包括店面人员管理、货品管理、商品陈列和资产管理；2、对店面业绩负责，分解公司下发销售任务和利润指标，制定销售政策和激励政策，推动团队达成目标；3、制定日常管理及门店运营计划；4、定期汇报反映店面销售、库存、损耗情况，根据情况制定后续销售计划；5、积极拓展销售渠道，维护客情关系；及时解决客户投诉、应对店面突发事件；6、熟悉港澳地区社交媒体平台，了解直播，视频和图文种草等线上内容营销玩法。岗位要求：1、本科以上学历，3年以上家居家具行业及销售经验，2年以上门店管理经验，有独立管理门店工作经验者优先；2、熟悉家居品牌，对跨境业务有一定了解，粤语可作为工作语言，普通话流利，英文优秀者优先；3、有良好沟通能力和销售技巧给团队赋能，协调和统筹能力出众，抗压性好，能适应成长型企业的工作节奏；4、此工作需常驻澳门，不能接受者勿投简历~,2023-11-13 ,,3.0,16000.0
2800751,北京居然之家家居连锁有限公司,居然之家招聘店员/营业员,澳门,嘉模堂區,10000.0-15000.0,大专,3-5年,若干,上市企业,"岗位职责：

1、负责店面顾客的接待服务工作，为顾客详细介绍公司品牌、商品及当下相关活动优惠信息，负责解答客户问题。

2、负责客户下单后的跟进工作及相关的售后工作。

3、积极拓展销售渠道，维护客情关系；及时解决客户投诉、应对店面突发事件

4、店面环境卫生管理，确保店铺陈列及环境与品牌形象保持一致。

5、 做好店长分配的任务及销售管理的日常工作，完成每日销售指标。

6、做好销售数据统计，库存盘点，确保货品数量正确、安全；

7、遵照公司的规章制度，保持良好的自身形象，执行公司交派的各项任务。

职位要求：

1、形象良好，具备一定的家居搭配能力，有店面导购、销售等工作经验者优先。

2、40岁以下，大专以上学历，具有3年以上家居家具行业及销售经验。

3、有良好的服务意识和语言表达能力，能得体地与客户沟通交流，粤语可作为工作语言，普通话流利，英文优秀者优先。

4、自信的销售意识与谈判能力，有亲和力，对于销售工作有想法和创新思维。

5、热爱生活、愿意学习，善于自我激励，喜欢接受有挑战性的工作，能承受较大的工作压力。

6、工作认真负责，有良好的工作态度及品质；具有奋斗心和渴望成功的欲望。

7、此工作需常驻澳门，不能接受者勿投简历~

原标题：《家居销售顾问》 更多数据：搜索“马克数据网”来源：www.macrodatas.cn",2023-11-13 ,,3.0,12500.0
1381322,珠海市新德汇信息技术有限公司,技术支持工程师,澳门,,9000.0-14000.0,大专,1-3年,若干,上市企业,"岗位职责：
1、完成公司所售产品的技术安装部署实施；
2、完成指派的IT技术实施和维护服务；
3、完成项目中的电脑及网络维护工作，维持项目内部办工系统正常运转；
4、服从安排上门到客户现场安装调试任务，定期检查滞销库存的技术测试与备份数据；
5、完成上级交办的其他工作。
任职资格要求：
1、大专或以上学历，熟悉计算机软、硬件方面的知识，熟悉DELL、联想、HP、华为等品牌产品者优先；
2、熟悉多种操作系统等相关常用技术及部署(如WINDOWS、LINUX)；
3、熟悉计算机、服务器、存储等的安装调试，有较强的排除故障能力；
4、熟悉TCP/IP协议及主流网络技术、掌握各种路由、交换、安全协议；
5、有较强独立工作能力、协调能力和一定应变能力，具备团队精神，工作踏实、认真，有较强的敬业精神；
6、掌握一定的销售技巧者优先；
7、工作地在澳门，但公司无法提供住宿，要求会粤语。",2023-09-03 ,,1.0,11500.0
3195019,武汉健民大鹏药业有限公司,药物研发、化学合成,澳门,,15000.0-20000.0,本科,1-3年,若干,上市企业,"任职要求：全职 学历要求：硕士、博士，博士后。无需工作经验，博士/博士后如能提供导师推荐信或博士论文尤佳。 有较强团队指导协调能力，执行力、沟通能力强。 能独立分析化验报告，并能撰写相关学术论文，专利，可行性项目报告等。有相关行业工作经验，独立或参与过相关化学、药物合成项目，熟悉各类化学分析仪器者优先。 外语要求：英语阅读写作良好 工资待遇：25万/年起或岗位面议（保证高于同行业平均薪酬水平） 薪资福利：具有竞争力的薪资+五险一金+免费午餐+节假日福利+免费体检+专业培训+畅通发展空间 + 年终奖+国际合作国外学习机会。 提供住房 职称与年龄/性别：不限

关注微信公众号“马克数据网”",2021-09-30 ,,1.0,17500.0
3996630,中国化学工程第十一建设有限公司,项目物资部材料员,澳门,,6001.0-8000.0,大专,3-5年,1,上市企业,岗位职责：  遵守国家的相关法律法规政策。严格执行公司《物资采购控制程序》和物资采购管理文件的相关规定，按公司物资采购流程采购； 熟悉和掌握市场信息，了解行情，及时向分公司领导反馈市场价格和有关信息； 严格按照采购通知单上所注明的规格型号、数量、技术标准等要求进行采购，；严格执行“仓库管理标准“，对保管物资的数量和质量负责； 做好仓库物资的验收、入库、保管和发放等相关工作，建立各类明细台帐； 物资入库，严格把好“质量关“、”数量关“。认真检斤、检尺、点数、检质并填写磅码单； 基础工作制度化，做到收发及时，准确无误、手续齐备、凭证完整、记账及时、字迹清晰、日清月结、永续盘存； 随时掌握库存动态，充份发挥周转效率； 负责所管物资和库房的安全工作，严格执行班前、班后、巡回检查制，每天班后要检查库（场）的安全情况，检查闭灯、锁���、灭火、防火、防盗、等工作； 做好仓库设施、机具、工具的维护保养工作；要制定各类物资的保管保养技术规程，做到“十不”； 坚持季检制度并做好季检记录。工作目标 熟悉国家、行业有关物资供应的政策、法规、技术标准。 熟悉项目施工组织设计、概预算成本及物资供应规律。 组织程序文件主责程序的实施。 组织完成物资统计、管理、招投标、采购工作。 熟悉施工流程，协调好施工过程中物资供应出现的矛盾和问题。 熟悉和了解新技术、新材料、新工艺、新设备的动态。 切实做好采购、收、发、存和帐、卡、物的管理工作，努力控制和降低物资管理和采购成本。 对入库物资进行标识，核对材质、技术资料，并把材质证编号移到账本上；合理安排物资在仓库内的存放次序，按物资种类、规格、等级、性能分区摆放，做到“四号定位”“五五摆放”，帐、物、卡、资金四对口。 任职资格：  具有大专以上学历，三年以上建筑或石化行业相关施工现场物资管理工作经验，具有初级以上技术职称； 了解国家相关的标准、规范、法律法规，掌握本岗位专业知识； 具有一定的施工组织管理经验，能结合公司实际制订措施并认真执行； 遵章守纪，爱岗敬业，认真负责，热情服务，具有较强的工作责任心和团队意识; 具有敏锐的市场观察能力，能够通过各种途径搜集信息，客观分析市场，作好物资核算。 微信公众号“马克数据网”,2021-08-05 ,2021-09-05 ,3.0,7000.5
2923741,软通动力信息技术（集团）股份有限公司,Java开发工程师（东莞办公）,澳门,,18001.0-35000.0,本科,3-5年,100,上市企业,"朝九晚六周末双休，薪资福利好，全国各大城市均有职位，欢迎投递简历。java、前端、测试、运维、BA、数据开发等IT岗位均招聘！      java岗位JD：  1、3年以上J2EE相关开发经验，精通java开发，有微服务经验优先  2、熟悉spring, Struts,hibernate等开源框架；  3、熟悉Spring Boot等开源技术  4、熟悉mysql、Oracle等常见数据库编程和设计能力
来自：www.macrodatas.cn",2021-07-29 ,2021-08-29 ,3.0,26500.5
2088142,用友网络科技股份有限公司,HCM项目经理&amp;顾问,澳门,,12000.0-18000.0,本科,1-3年,若干,上市企业,"能力要求：1.熟悉HCM人力资源管理系统，熟悉用友、Sap、Oracle、金蝶等HCM领域产品优先;2.本科以上学历，计算机相关专业优先;熟悉SQL、Oracle数据库的应用优先;3.需具备2年以上的项目管理经验，熟悉项目管理知识，具备优秀的项目规划能力、控制能力和项目交付能力；担任过大型项目项目经理的经历优先;4.工作积极主动、敬业，具有高度的责任心、良好的团队合作精神及良好的客户服务意识；5.适应能力强、善于沟通，逻辑思维和表达能力优秀，具有较强的承压能力；岗位职责：1.负责HCM项目实施交付工作,承担项目经理职责;2.按合同要求把控项目的整体实施进度和实施质量；3.对项目团队成员的日常工作进行管理和指导；4.负责制定项目计划、任务分派、整体解决方案把控、项目进度跟踪、成本费用控制、项目风险识别等日常项目管理工作；5.总结提炼项目管理精髓和行业最佳业务实践，参与项目管理改进和行业及领域解决方案的优化。6.工作地：珠海或澳门福利待遇技能培训,岗位晋升,扁平管理,管理规范,年终奖,五险一金全额,技术氛围浓厚,班车食堂宿舍,平台发展稳健",2021-06-10 ,2021-08-10 ,1.0,15000.0
